Source;Frame;Fix Frame;Frame Period;Parameter;Size (bits);Charge (bps);Fix param in frame;4WD;4WS;ACU;ADAS;ADB;ANC;ATCU;ATCU_eDCT;AUDIOamp;AVM;BCM;BMS_12V;BSG;BSWL;BSWR;CPLC;DOP_RES;DOP_SECU;DOP_TCU;DSMU;DSU;DTOOL;EBA;ECM;EPKB;EPS;ESCL;EVAP;FrCamera;HECM;HEVC;HFM;HUD;HVAC;IDM;IVI;MagicFolding;MBL;METER;PBD;PSCU;RADAR;SceneRecorder;SCU;SONAR;TCU;USM;VADA;VDC;VSP;GW
BCM;BCM_A1;0;100;AHL_ActivationDisplay;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;BootOpenWarning;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;DayNightSynthesis;2;20;0;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;FrontLeftDoorOpenWarning;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;FrontRightDoorOpenWarning;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;KeyReminderAlert;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;RearLeftDoorOpenWarning;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;RearWindowLiftStateDisplay;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;;;;;;;;;;;;
BCM;BCM_A1;0;100;RearRightDoorOpenWarning;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;StopLampFailureDisplay;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;HighBeamDisplay;1;10;0;;;;;;;;;;;;;;;;;;;100;;20;;;;;;;;;;;;;;;100;;;20;;;;;;;100;;;;;
BCM;BCM_A1;0;100;KeylessInfoReemissionRequest;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;LowBeamDisplay;1;10;0;;;;;;;;;;;;;;;;;;;100;;20;;;;;;;;;;;;;;;100;;;20;;;;;;;100;;;;;
BCM;BCM_A1;0;100;STCUT_RLY_FailureAlert;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;PositionLightsDisplay;1;10;0;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;
BCM;BCM_A1;0;100;MeterRing_Illumination_Request;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;IGN_SaverWarningAfterIGNOFF;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;100;;;;
BCM;BCM_A1;0;100;IGN_SaverWarningBeforeIGNOFF;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A1;0;100;ClutchSwitchFaultDisplay;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AHL_ActivationState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoFrontWiperActivationStatus;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoLightSensitivityStatus;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoLockActivationState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoFMHactivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AmbientLightingPatternState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoUnLockActivationState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;MotorwayFlashersNumberStatus;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;RearWiperStatus;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutomaticLockUpActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;FrontRearWiperDropStatus;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoReLockActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;SilentModeActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;500;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoFMHdurationState;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;DoorLockRefuseToLockAlertDisplay;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;WGSactivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;PWTstartForbiddenFeedback_FOTA;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100
BCM;BCM_A10;0;100;MagicLBtoHB_ActivationState;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;ADB_ActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;ADB_ActivationStatusDisplay;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A10;0;100;WiperWithSpeedActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A10;0;100;CentralSwitchIntensityStatus;5;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;
BCM;BCM_A10;0;100;AutoInternalLightingState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A10;0;100;PatternLightingStatus;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;
BCM;BCM_A11;0;100;TPMS_AckResetDriver;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;TPMS_PressureFrontAxleState;6;60;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;100;;;;;;;500;;;;;
BCM;BCM_A11;0;100;TPMS_LearningDone;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;TPMS_PressureRearAxleState;6;60;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;100;;;;;;;500;;;;;
BCM;BCM_A11;0;100;WheelStateFL;3;30;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;100;;;;;;;100;;;;;
BCM;BCM_A11;0;100;WheelStateFR;3;30;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;100;;;;;;;100;;;;;
BCM;BCM_A11;0;100;ShippingModeFL;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;ShippingModeFR;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;WheelStateRL;3;30;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;100;;;;;;;100;;;;;
BCM;BCM_A11;0;100;WheelStateRR;3;30;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;100;;;;;;;100;;;;;
BCM;BCM_A11;0;100;ShippingModeRL;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;ShippingModeRR;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;OldPressureFL;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;OldPressureFR;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;OldPressureRL;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;OldPressureRR;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;DisplayStyle;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;TPMS_ActivationMode;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A11;0;100;TPMS_AutoLocStatus;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A2;0;500;FrontLeftWheelPressure_V2;8;16;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;500;;;;;;;500;;;;;
BCM;BCM_A2;0;500;FrontRightWheelPressure_V2;8;16;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;500;;;;;;;500;;;;;
BCM;BCM_A2;0;500;RearLeftWheelPressure_V2;8;16;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;500;;;;;;;500;;;;;
BCM;BCM_A2;0;500;RearRightWheelPressure_V2;8;16;0;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;100;;;500;;;;;;;500;;;;;
BCM;BCM_A2;0;500;EcoAdviceTirePressureFL;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A2;0;500;EcoAdviceTirePressureFR;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A2;0;500;EcoAdviceTirePressureRL;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A2;0;500;EcoAdviceTirePressureRR;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A2;0;500;EcoAdviceTPMSActivationState;2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;;;500;;;;;;;;;;;;
BCM;BCM_A2;0;500;SelectPressureSupport;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A2;0;500;TPMS_SetSupport;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A3;0;100;ElectricalPowerDrived;5;50;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;100;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;BrakeSwitchFaillure_V2;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A3;0;100;TOWmodeSwitch;1;10;0;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;TailGateButtonPushed;2;20;0;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;0;;;;;;;;;;;;;;100;;;;;
BCM;BCM_A3;0;100;ETAKickDetected;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;SmartKeylessInformationDisplay;5;50;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A3;0;100;SafetyLineDiagState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;RearDefrostEngaged;1;10;0;;;;;;;;;;;;;;;;;100;;100;;;;;100;;;;;;;100;;;100;;;;;;;;;;;;100;;;;;
BCM;BCM_A3;0;100;PTCNumberThermalStatus;4;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;OriginOfVehOutsideLockedChange;4;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;FrontFogLightsRequest;1;10;0;;;;;;;;;;100;;;;;;;;;100;;;;;100;;;;;;;;;;;;;;;;;;;100;;;100;100;;;;
BCM;BCM_A3;0;100;PositionLightsRequest;1;10;0;;;;100;100;;;;;100;;;;;;;;;100;;;;;100;;;;;;;;;;;;;;;;;;;100;;;100;100;;;;
BCM;BCM_A3;0;100;DriverSeatBeltFailureState;2;20;0;;;;;;;100;;;;;;;;;;;;;;;;;1000;100;;;;;;1000;;;;;100;;;;;;;;;;100;;;;;
BCM;BCM_A3;0;100;EmergencyEngineStop;4;40;0;;;;;;;100;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A3;0;100;HandFreeLockInhibition;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;BrakeLampStatus;1;10;0;;;;;;;100;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;KeyVehicle;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;ManualShiftLeverPosition;2;20;0;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;
BCM;BCM_A3;0;100;ShiftPaddleRequest;2;20;0;;;;;;;100;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;
BCM;BCM_A3;0;100;StartingMode_BCM;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;;;;;;;;100;100;;;;
BCM;BCM_A3;0;100;StopStartSwitch;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;CloseActiveBrakeSwitch_BCM;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;FrontDefrostEngaged;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;100;;;100;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;FrontFogLightsDisplay;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;20;;;;;;;;;;;;
BCM;BCM_A3;0;100;ESCLunlock_iKeyFobAuthent;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;HeadLampsWasherRequest;1;10;0;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A3;0;100;IdleSpeedIncreaseRequest;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;OverDriveOffSwitchState;1;10;0;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A3;0;100;RearFogLightStateDisplay;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A3;0;100;RearFogLightsRequest;1;10;0;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;RESstatus;4;40;1;;;;;;;100;;;;;;;;;;;;100;;;;;100;;;;;;;100;100;100;1000;;;;;100;;;;;;;1000;100;;;;
BCM;BCM_A4;0;100;HornRequest;3;30;1;;;;;;;;;;;;;;;;;100;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;;;
BCM;BCM_A4;0;100;DayTimeRunningLightRequest;1;10;1;;;;;100;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;;;;
BCM;BCM_A4;0;100;DriveModeRequest;3;30;1;;;;100;;100;100;;100;;;;;;;;;;;;;;;10;;100;;;;;100;;;100;;100;;;;;;;;;;;;;100;;
BCM;BCM_A4;0;100;DriveModeStatusDisplay;3;30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A4;0;100;AutoACC2Status_MM;2;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;DeliveryModeInformation_v2;2;20;1;;100;;100;;100;100;;100;100;;;;100;100;100;;;100;100;;;;100;100;100;;;100;;100;100;100;100;100;100;100;;100;;100;100;100;;100;100;100;100;100;;100
BCM;BCM_A4;0;100;WarningLightsStatus;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A4;0;100;DriverSidePosition;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;VehicleOutsideLockedState;1;10;1;;;;;;;;;;;;;;;;;100;100;100;;;;;;;;;;;;;0;;;;100;;;100;100;;;;;;100;;;;;
BCM;BCM_A4;0;100;DriverDoorLockedStatus;1;10;1;;;;;;;;;;;;;;;;;100;100;100;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;ChildproofLockMalfunctionDisplay;2;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
BCM;BCM_A4;0;100;DriverOutsideBuzzerRequest;4;40;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;DriverModeUpSwitchState;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;MexSwitchState;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;AutoFoldingActivationState;2;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;500;;;;;;;;;;;;
BCM;BCM_A4;0;100;InsideIkeyfobCountRequest;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;
BCM;BCM_A4;0;100;TPMS_HornRequest;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;
BCM;BCM_A4;0;100;AutoLightingFunctionStatus;1;10;1;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;;;;
BCM;BCM_A4;0;100;DriverStopRequestWhileBattOff;3;30;1;;;;;;;100;100;;;;;;;;;;;;;;;;;100;;;;;;100;;;;;;;;;;;;;;;;;;100;;
BCM;BCM_A4;0;100;CRC_BCM_A4;8;80;1;;;;;;;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A4;0;100;Clock_BCM_A4;4;40;1;;;;;;;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A4;0;100;LowBeamRequest_USM;1;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A5;0;100;LeftSolarLevelInfo;5;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;AHL_FailureDisplay_v2;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A5;0;100;ProbableCustomerFeedBackNeed;1;10;0;;;;;;;100;;;;;;;;;;;;;;;;;;100;;;;;;100;100;;100;;100;;;100;;;;100;;100;500;;;100;;
BCM;BCM_A5;0;100;RightSolarLevelInfo;5;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;SingleDoorOpeningActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
BCM;BCM_A5;0;100;ADB_RemoteLightingRequest;1;10;0;;;;;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;PTCThermalRegulatorFreeze;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;BCM_PresoakRequest;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;200;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;ChildLockStateDisplay;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A5;0;100;ExternalWGS_Request;2;20;0;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A5;0;100;PositionLightsOmissionWarning;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
BCM;BCM_A5;0;100;RearLightSignatureRequest;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;
BCM;BCM_A5;0;100;VisibleSolarLevelInfo;4;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;WindowPosition_FL;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;WindowPosition_FR;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;TrunkOpeningRequest;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;
BCM;BCM_A5;0;100;WindowPosition_RL;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;WindowPosition_RR;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;SRU_Position;4;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;RKE_ButtonPressed;5;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;100;;;;;;;;;;;
BCM;BCM_A5;0;100;ADB_AuthorizationRequest;1;10;0;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;ChargeProhibitionByRental_BCM;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;;;;;;;;;;;;;;;;;;;;
BCM;BCM_A5;0;100;ET_kickDetectedAfteriKeyCheck;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;
BCM;BCM_A5;0;100;GlassHatchStatus;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;
BCM;BCM_A6;0;1000;FrontWiperIntAutoSpeedStatus;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;
BCM;BCM_A6;0;1000;VolumetricAlarmLastTrigger;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;
BCM;BCM_A6;0;1000;RESPreSoak_SmartphoneError;3;3;0;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;
BCM;BCM_A6;0;1000;RESPreSoak_NextDriverArrivalTime;11;11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;1000;;;1000;;;;;;;;;;;;
BCM;BCM_A6;0;1000;FrontWiperSwitchStatus;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;
BCM;BCM_A6;0;1000;RESPreSoak_ProgStatus;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;
BCM;BCM_A6;0;1000;LeftTimeDuringThisRESCycle;11;11;0;;;;;;;;;;;;;;;;;1000;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;
